huc_6,n,huc_pca_ratio,pca_huc_ratio
110800,p34,0.004286998,0.000946042
110800,p47,0.129296884,0.075326478
110800,p31,0.865973192,0.107827352
130301,p31,0.979766872,0.048254098
130301,p59,0.020233128,0.09956956
120500,p47,0.186980484,0.126640092
120500,p48,0.548694902,0.228793903
120500,p60,0.264324614,0.180023533
121101,p64,0.10834898,0.064751873
121101,p65,0.855145663,0.35589911
101900,p34,0.058899019,0.025176697
101900,p40,0.016757167,0.00797454
101900,p24,0.08438673,0.064581182
101900,p33,0.724562737,0.368040818
101900,p39,0.115394347,0.142456013
102701,p53,0.998710279,0.089490143
110702,p56,0.030761391,0.027009275
110702,p53,0.50190142,0.1022344
110702,p55,0.231513793,0.203355975
110702,p51,0.235823396,0.251510467
111101,p56,0.221003919,0.114861407
111101,p50,0.379470104,0.053878076
111101,p51,0.399525977,0.252221097
30401,p118,0.017339569,0.009849339
30401,p97,0.898939674,0.311225471
30401,p96,0.001136706,0.000338719
30401,p98,0.082584051,0.019066507
71200,p79,0.097074833,0.279985241
71200,p80,0.509866998,0.440493607
71200,p83,0.110876162,0.090221109
111203,p48,0.453258705,0.067066165
111203,p50,0.546741295,0.053686888
121001,p64,0.688047772,0.056800925
121001,p65,0.311952228,0.017934291
101101,p37,0.240466237,0.049648131
101101,p36,0.759533763,0.176044378
40801,p103,1,0.06776459
150702,p28,0.822200939,0.072140832
150702,p30,0.177799061,0.11946945
50902,p110,2.91E-05,3.53E-05
50902,p109,0.220677205,0.056243889
50902,p114,0.303431359,0.71269192
50902,p112,0.161158916,0.030901384
50902,p107,0.152872908,0.050324795
70801,p80,0.016794747,0.01368136
70801,p71,1.60E-09,2.87E-09
70801,p70,0.649944137,0.247499026
170101,p14,0.225606667,0.140143224
170101,p17,0.774393333,0.099661845
160402,p7,0.069270125,0.025678328
121004,p65,0.997535402,0.113906322
70400,p68,0.132382476,0.169419921
70400,p46,0.316526102,0.169896438
70400,p77,0.122994542,0.180141043
70400,p43,0.415953374,0.093935589
120902,p64,0.86934266,0.256469299
111201,p60,0.220198615,0.080511176
120901,p62,0.142403968,0.202981519
120901,p64,0.064113437,0.034864702
120901,p61,0.572206769,0.1739749
120901,p63,0.215185174,0.05996782
150501,p28,1,0.042238967
20302,p128,0.913456396,0.999999995
70700,p69,1.71E-05,2.72E-05
70700,p46,0.03309151,0.019695675
70700,p77,0.299391093,0.486233926
70700,p74,0.003540457,0.003517871
70700,p75,0.427078453,0.410968369
70700,p78,0.018564491,0.086908618
160203,p12,0.170549925,0.037269748
160203,p16,0.031838457,0.033117446
160203,p25,0.797611617,0.249346705
180400,p10,0.000119693,2.91E-05
180400,p9,0.999880307,0.214997412
90300,p42,0.446500692,0.243949451
90300,p43,0.553499308,0.130828147
170900,p6,0.008709528,0.005395679
170900,p2,0.018334857,0.008533412
170900,p5,0.972955615,0.245118032
101102,p23,0.076048913,0.071844579
120800,p48,0.245054357,0.113295764
120800,p60,0.275906519,0.20834897
80302,p86,0.000901345,0.001762694
80302,p87,0.727262224,0.279580816
170601,p15,0.029735697,0.006381418
170601,p2,0.181023213,0.083931657
170601,p7,0.000644833,0.000237905
170601,p5,0.41822676,0.104964001
170601,p3,0.308021016,0.170823453
170601,p14,0.062348481,0.094297366
170703,p6,0.075906502,0.043110032
170703,p7,0.025366519,0.008612306
170703,p5,0.898726979,0.207566816
