huc_8,huc_6,huc_4,huc_2,huc_custom
1010002,10100,101,1,North Atlantic
1010003,10100,101,1,North Atlantic
1010004,10100,101,1,North Atlantic
1010005,10100,101,1,North Atlantic
1010006,10100,101,1,North Atlantic
1010007,10100,101,1,North Atlantic
1010008,10100,101,1,North Atlantic
1010009,10100,101,1,North Atlantic
1010010,10100,101,1,North Atlantic
1010011,10100,101,1,North Atlantic
1020001,10200,102,1,North Atlantic
1020002,10200,102,1,North Atlantic
1020003,10200,102,1,North Atlantic
1020004,10200,102,1,North Atlantic
1020005,10200,102,1,North Atlantic
1030001,10300,103,1,North Atlantic
1030002,10300,103,1,North Atlantic
1030003,10300,103,1,North Atlantic
1040001,10400,104,1,North Atlantic
1040002,10400,104,1,North Atlantic
1050001,10500,105,1,North Atlantic
1050002,10500,105,1,North Atlantic
1050003,10500,105,1,North Atlantic
1050004,10500,105,1,North Atlantic
1060001,10600,106,1,North Atlantic
1060002,10600,106,1,North Atlantic
1060003,10600,106,1,North Atlantic
1070001,10700,107,1,North Atlantic
1070002,10700,107,1,North Atlantic
1070003,10700,107,1,North Atlantic
1070004,10700,107,1,North Atlantic
1070005,10700,107,1,North Atlantic
1070006,10700,107,1,North Atlantic
1080101,10801,108,1,North Atlantic
1080102,10801,108,1,North Atlantic
1080103,10801,108,1,North Atlantic
1080104,10801,108,1,North Atlantic
1080105,10801,108,1,North Atlantic
1080106,10801,108,1,North Atlantic
1080107,10801,108,1,North Atlantic
1080201,10802,108,1,North Atlantic
1080202,10802,108,1,North Atlantic
1080203,10802,108,1,North Atlantic
1080204,10802,108,1,North Atlantic
1080205,10802,108,1,North Atlantic
1080206,10802,108,1,North Atlantic
1080207,10802,108,1,North Atlantic
1090001,10900,109,1,North Atlantic
1090002,10900,109,1,North Atlantic
1090003,10900,109,1,North Atlantic
1090004,10900,109,1,North Atlantic
1090005,10900,109,1,North Atlantic
1100001,11000,110,1,North Atlantic
1100002,11000,110,1,North Atlantic
1100003,11000,110,1,North Atlantic
1100004,11000,110,1,North Atlantic
1100005,11000,110,1,North Atlantic
1100006,11000,110,1,North Atlantic
2020001,20200,202,2,North Atlantic
2020002,20200,202,2,North Atlantic
2020003,20200,202,2,North Atlantic
