raw,display
nuclear,nuclear
CoalOldUns,CoalOldUns
CoalOldScr,CoalOldScr
CofireOld,CofireOld
CofireNew,CofireNew
coal-new,coal-new
coal-IGCC,coal-IGCC
coal-CCS,coal-CCS
o-g-s,o-g-s
gas-CC,gas-CC
gas-CC-CCS,gas-CC-CCS
gas-CT,gas-CT
hydro,hydro
ocean,ocean
geothermal,geothermal
biopower,biopower
cofirebiomass,biopower
lfill-gas,lfill-gas
wind-ons,wind-ons
wind-ofs,wind-ofs
wind-ofm,wind-ofm
wind-ofd,wind-ofd
CSP,CSP
CSP-ns,CSP-ns
CSP-ws,CSP-ws
UPV,UPV
DUPV,DUPV
distPV,distPV
pumped-hydro,pumped-hydro
Battery,Battery
CAES,CAES
ice-storage,ice-storage
IL,IL
demand-response,demand-response
PHEV,PHEV
Gas-CC-NSP,gas-CC
Gas-CT-NSP,gas-CT
Coal-CCS-NSP,coal-CCS
Nuclear-NSP,nuclear
canada,canada
